MassSpringSystemSemi first-frame debug snapshot
gravity=(0.00, -9.81, 0.00), dt=0.0010, stiffness=500.000
particles=632, springs=1890
P[130] pos=(0.31, 5.75, -4.13) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[131] pos=(0.31, 8.25, -4.13) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[132] pos=(-0.88, 8.25, -3.21) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[133] pos=(-0.88, 5.75, -3.21) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[134] pos=(1.88, 8.25, -5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[135] pos=(1.88, 5.75, -5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[136] pos=(1.56, 5.75, -3.90) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[137] pos=(1.56, 8.25, -3.90) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[138] pos=(-0.63, 8.25, -5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[139] pos=(-0.63, 5.75, -5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[140] pos=(-0.94, 5.75, -4.13) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[141] pos=(-0.94, 8.25, -4.13) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[142] pos=(-2.12, 8.25, -3.59) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[143] pos=(-2.12, 5.75, -3.59) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[144] pos=(-1.88, 8.25, -5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[145] pos=(-1.88, 5.75, -5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[146] pos=(-4.38, 8.25, -5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[147] pos=(-4.38, 5.75, -5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[148] pos=(-4.06, 8.25, -4.06) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[149] pos=(-4.06, 5.75, -4.06) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[150] pos=(-3.13, 8.25, -5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[151] pos=(-3.13, 5.75, -5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[152] pos=(-2.81, 8.25, -4.16) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[153] pos=(-2.81, 5.75, -4.16) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[154] pos=(5.00, 5.75, -4.38) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[155] pos=(5.00, 8.25, -4.38) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[156] pos=(5.00, 5.75, -3.13) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[157] pos=(5.00, 8.25, -3.13) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[158] pos=(4.13, 8.25, -2.81) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[159] pos=(4.13, 5.75, -2.81) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[160] pos=(5.00, 8.25, -0.63) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[161] pos=(5.00, 5.75, -0.63) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[162] pos=(4.13, 8.25, -0.31) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[163] pos=(4.13, 5.75, -0.31) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[164] pos=(3.21, 5.75, 0.88) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[165] pos=(3.21, 8.25, 0.88) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
